date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2012/7/10,79.4,79.9,78.6,79.1,-0.9,81.02,33452,-70,993,-13553,80.9,-89.06,41.01,31.84,46.86,-86.57
2012/7/11,78.1,78.3,77.4,78.1,-1,80.9,58624,-665,830,-28216,80.37,-145.38,36.71,24.34,39.35,-90.67
2012/7/12,77.5,77.5,75.7,75.7,-2.4,80.48,68433,-2006,1961,-38246,79.42,-187.9,28.61,16.23,31.64,-100
2012/7/13,74.9,76,74.5,75.8,0.1,79.93,51638,-450,1704,-17692,78.57,-175.68,29.34,14.98,26.09,-87.5
2012/7/16,76.3,76.3,75.5,75.5,-0.3,79.15,35473,332,16,-13648,77.76,-137.51,28.36,14.38,22.19,-90.38
2012/7/17,74.5,75.2,74.5,74.8,-0.7,78.21,51652,-102,1720,-22527,76.97,-140.12,26.07,10.92,18.43,-97.12
2012/7/18,75,75.3,74.8,74.8,0,77.57,37231,2282,-2506,-15326,76.35,-110.26,26.07,8.82,15.22,-97.12
2012/7/19,76.8,78,76.8,77.5,2.7,77.22,62092,193,-1524,23049,76.34,-35.23,46.95,23.12,17.86,-71.15
2012/7/20,76.4,77,76.2,76.7,-0.8,76.8,48463,65,-735,-10773,76.25,-46.29,42.91,28.99,21.57,-78.85
2012/7/23,75.1,75.1,73.8,74.3,-2.4,76.23,57515,-362,474,-29751,75.79,-90.67,33.25,23.03,22.06,-93.98
2012/7/24,74.3,74.8,74.2,74.8,0.5,75.8,39955,109,2662,-10277,75.53,-67.69,36.6,23.29,22.47,-87.8
2012/7/25,75,75.2,74.4,74.6,-0.2,75.45,52173,394,-97,-14861,75.31,-49.4,35.79,21.88,22.27,-88.89
2012/7/26,75.7,76.7,75.2,76.3,1.7,75.51,46839,1942,-1024,16373,75.47,-6.17,46.97,34.43,26.32,-61.54
2012/7/27,77.9,79.4,77.2,79.3,3,75.86,72469,1097,-1560,40829,76.16,60.1,60.59,55.69,36.11,-9.84
2012/7/30,80,80.4,78.8,79,-0.3,76.21,37866,-1419,-1627,19070,76.73,75.24,58.89,63.39,45.2,-21.21
